Text,Label
"Faturam çok yüksek geldi,""Fatura/Ödeme"""
"İnternetim çalışmıyor,""Teknik Destek"""
"Aboneliğimi iptal etmek istiyorum,""Abonelik İşlemleri"""
"Yeni kampanyalar hakkında bilgi verir misiniz?,""Genel"""
"Ödememle ilgili sorun var,""Fatura/Ödeme"""
"Modemim sürekli kopuyor,""Teknik Destek"""
"Abonelik ücretimi değiştirmek istiyorum,""Abonelik İşlemleri"""
"Ürün teslimatı ne zaman?,""Genel"""
"Fatura tarihimi öğrenebilir miyim?,""Fatura/Ödeme"""
"Telefon hattım çalışmıyor,""Teknik Destek"""
"Abonelik paketimi yükseltmek istiyorum,""Abonelik İşlemleri"""
"İndirim kampanyalarınız var mı?,""Genel"""
"Fatura ödemem kabul edilmedi,""Fatura/Ödeme"""
"Evde internet bağlantım yok,""Teknik Destek"""
"Aboneliğimi dondurmak istiyorum,""Abonelik İşlemleri"""
"Ürün iade şartlarınız nedir?,""Genel"""
"Faturamda yanlış kesinti var,""Fatura/Ödeme"""
"Teknik destek ekibini nasıl çağırabilirim?,""Teknik Destek"""
"Abonelik başlangıç tarihimi öğrenmek istiyorum,""Abonelik İşlemleri"""
"Yeni ürünler ne zaman geliyor?,""Genel"""
"Faturam zamanında gelmedi,""Fatura/Ödeme"""
"Wifi hızım çok düşük,""Teknik Destek"""
"Abonelik paketimde değişiklik yapmak istiyorum,""Abonelik İşlemleri"""
"Garanti süresi nedir?,""Genel"""
"Ödeme makbuzumu alabilir miyim?,""Fatura/Ödeme"""
"Modem kurulumu nasıl yapılıyor?,""Teknik Destek"""
"Abonelik iptal prosedürü nedir?,""Abonelik İşlemleri"""
"Kampanya detaylarını öğrenebilir miyim?,""Genel"""
"Faturama itiraz etmek istiyorum,""Fatura/Ödeme"""
"İnternet kopmalarına çözüm nedir?,""Teknik Destek"""
"Abonelik ücreti ne kadar?,""Abonelik İşlemleri"""
"Ürün garanti belgesi istiyorum,""Genel"""
"Fatura borcumu ödedim ama yansımadı,""Fatura/Ödeme"""
"Telefonum sinyal almıyor,""Teknik Destek"""
"Aboneliğim nasıl aktif edilir?,""Abonelik İşlemleri"""
"Mağazanız nerede?,""Genel"""
"Fatura ödeme seçenekleri nelerdir?,""Fatura/Ödeme"""
"Modem ışıkları yanmıyor,""Teknik Destek"""
"Aboneliğimi yenilemek istiyorum,""Abonelik İşlemleri"""
"Ürün stokta var mı?,""Genel"""
"Fatura kesim tarihi değişti mi?,""Fatura/Ödeme"""
"İnternet hızımı nasıl artırabilirim?,""Teknik Destek"""
"Abonelik sözleşmesini nasıl iptal ederim?,""Abonelik İşlemleri"""
"Yeni kampanyalarınız var mı?,""Genel"""
"Faturamda ekstra ücret var,""Fatura/Ödeme"""
"Modem bağlantısı sık sık kopuyor,""Teknik Destek"""
"Abonelik ücretini nereden ödeyebilirim?,""Abonelik İşlemleri"""
"Ürün teslimat süresi nedir?,""Genel"""
"Fatura bilgilerini güncellemek istiyorum,""Fatura/Ödeme"""
"Teknik destekle nasıl iletişim kurabilirim?,""Teknik Destek"""
"Abonelik paketinde indirim var mı?,""Abonelik İşlemleri"""
"Yeni ürün tanıtımı ne zaman?,""Genel"""
